CrossName,BrCrCode,Synonym,sexTestRes,Program,Subprogram,Concept,Funding,Contract,Breeder,Planted,nonPsa,PsaDeaths,Remaining,Percent_Remaining
K14.0253,,,,Red,,,,,Paul Datson,12,0,1,11,91.67
K14.0254,,,,Red,,,,,Paul Datson,12,0,1,11,91.67
K14.0255,,,,Red,,,,,Paul Datson,12,0,1,11,91.67
K14.0256,,,,Red,,,,,Paul Datson,12,0,1,11,91.67
,Hayward,,,Green,Control(toDEL),,,,,22,0,0,22,100
T02/HM/b52/B12,T02/HM/b52/B12,Green 11,,Green,Control(toDEL),,,,Hinga Marsh,9,0,0,9,100
K12.1069,MA_502,MA_502,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,96,2,3,91,94.79
K12.1065,MA_503,MA_503,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,541,12,37,492,90.94
K12.1066,MA_529,MA_529,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,235,3,13,219,93.19
K12.1041,MF_148,MF_148,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,70,0,7,63,90
K12.1036,MF_503,MF_503,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,140,2,7,131,93.57
K12.1034,MF_505,MF_505,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,284,3,12,269,94.72
K12.1032,MF_507,MF_507,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,144,10,22,112,77.78
K12.1035,MF_529,MF_529,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,7,0,0,7,100
K12.0864,MU_503,MU_503,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,324,6,13,305,94.14
K12.0866,MU_507,MU_507,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,129,2,10,117,90.7
K12.0856,NA_502,NA_502,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,31,0,2,29,93.55
K12.0859,NA_503,NA_503,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,40,2,0,38,95
K12.0857,NA_505,NA_505,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,6,0,0,6,100
K12.0858,NA_529,NA_529,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,281,6,8,267,95.02
K12.0854,NB_503,NB_503,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,2,0,0,2,100
K12.0869,NG_502,NG_502,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,16,1,3,12,75
K12.0870,NG_504,NG_504,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,34,0,0,34,100
K12.0873,NG_505,NG_505,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,154,8,17,129,83.77
K12.0871,NG_506,NG_506,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,38,0,3,35,92.11
K12.0872,NG_507,NG_507,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,322,13,41,268,83.23
K12.0875,NG_522,NG_522,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,50,1,4,45,90
K12.0582,QA_531,QA_531,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,40,0,4,36,90
K12.0591,QC_539,QC_539,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,93,1,14,78,83.87
K12.0593,QD_530,QD_530,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,90,6,11,73,81.11
K12.0595,QD_545,QD_545,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,71,3,15,53,74.65
K12.0597,QE_541,QE_541,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,92,4,60,28,30.43
K09.0004,ZI132,ZI132,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,176,2,10,164,93.18
K09.0003,ZS131,ZS131,,Green,Green,,Commercial,NC1401,Elizabeth Popowski,130,3,14,113,86.92
K12.0834,NH_523,NH_523,,Green,Green,,Parental,PT1401,Elizabeth Popowski,7,0,0,7,100
K12.0833,NH_528,NH_528,,Green,Green,,Parental,PT1401,Elizabeth Popowski,7,1,1,5,71.43
K14.0139,cXA_702,,,Red,,,Commercial,NC1601,Canhong Cheng,1,0,0,1,100
K14.0368,cAC_726,,,Red,,,,,Paul Datson,36,0,0,36,100
K14.0346,cAD_714,,,Red,,,,,Paul Datson,20,0,0,20,100
K14.0348,cAD_727,,,Red,,,,,Paul Datson,1,0,0,1,100
K14.0347,cAD_740,,,Red,,,,,Paul Datson,1,0,0,1,100
K14.0350,cAE_476,,,Red,,,,,Paul Datson,18,0,0,18,100
K14.0351,cAE_718,,,Red,,,,,Paul Datson,27,0,0,27,100
K14.0338,cD_712,,,Red,,,,,Paul Datson,5,0,0,5,100
K14.0335,cD_718,,,Red,,,,,Paul Datson,2,0,0,2,100
K14.0336,cD_735,,,Red,,,,,Paul Datson,28,0,0,28,100
K14.0355,cJ_735,,,Red,,,,,Paul Datson,13,0,0,13,100
K14.0380,cP_711,,,Red,,,,,Paul Datson,26,0,0,26,100
K14.0332,cU_738,,,Red,,,,,Paul Datson,40,0,0,40,100
K14.0323,cW_732,,,Red,,,,,Paul Datson,21,0,0,21,100
K14.0322,cW_737,,,Red,,,,,Paul Datson,12,0,0,12,100
K14.0232,cXZ_760,,,Red,,,,,Paul Datson,21,0,0,21,100
K14.0235,cYB_476/1,,,Red,,,,,Paul Datson,1,0,0,1,100
K14.0240,cYB_476/2,,,Red,,,,,Paul Datson,1,0,0,1,100
K14.0247,cYB_761,,,Red,,,,,Paul Datson,6,0,0,6,100
K14.0273,cYH_714,,,Red,,,,,Paul Datson,30,0,0,30,100
K14.0274,cYJ_476,,,Red,,,,,Paul Datson,18,0,0,18,100
K14.0275,cYK_714,,,Red,,,,,Paul Datson,25,0,0,25,100
K14.0276,cYK_742,,,Red,,,,,Paul Datson,29,0,0,29,100
K14.0303,cZ_476,,,Red,,,,,Paul Datson,1,0,0,1,100
K14.0384,rPD_717,,,Red,,,,,Paul Datson,23,0,0,23,100
K14.0383,rPD_738,,,Red,,,,,Paul Datson,25,0,0,25,100
K14.0382,rPD_743,,,Red,,,,,Paul Datson,23,0,0,23,100
K14.0251,TG_707,,,Red,,,,,Paul Datson,12,0,1,11,91.67
K14.0753,GL_287/1,,Female,Gold,2x Yellow,,,NC1601,Kirsten Hoeata,63,14,24,25,39.68
K14.0753,GL_287/1,,Male,Gold,2x Yellow,,,NC1601,Kirsten Hoeata,13,3,7,3,23.08
K14.0753,GL_287/1,,,Gold,2x Yellow,,,,Kirsten Hoeata,67,10,26,31,46.27
K13.0533,aCK_227,,Male,Gold,4x Yellow,,,,Alan Seal,17,0,5,12,70.59
K13.0536,aCK_406,,,Gold,4x Yellow,,,,Alan Seal,20,1,1,18,90
K13.0531,aCK_605,,Male,Gold,4x Yellow,,,,Alan Seal,28,0,4,24,85.71
K14.0253,cYF_248,,Female,Gold,4x Yellow,,,PT1601,Paul Datson,14,1,2,11,78.57
K14.0253,cYF_248,,,Gold,4x Yellow,,,,Paul Datson,17,2,4,11,64.71
K14.0252,cYF_376,,Female,Gold,4x Yellow,,,PT1601,Paul Datson,14,2,5,7,50
K14.0252,cYF_376,,Negative,Gold,4x Yellow,,,PT1601,Paul Datson,2,0,1,1,50
K14.0252,cYF_376,,,Gold,4x Yellow,,,,Paul Datson,17,5,0,12,70.59
K14.0257,cYG_219,,Female,Gold,4x Yellow,,,PT1601,Paul Datson,15,1,2,12,80
K14.0257,cYG_219,,Negative,Gold,4x Yellow,,,PT1601,Paul Datson,1,0,0,1,100
K14.0257,cYG_219,,,Gold,4x Yellow,,,,Paul Datson,18,1,6,11,61.11
K14.0256,cYG_248,,Female,Gold,4x Yellow,,,PT1601,Paul Datson,16,1,1,14,87.5
K14.0256,cYG_248,,Negative,Gold,4x Yellow,,,PT1601,Paul Datson,3,0,0,3,100
K14.0256,cYG_248,,Unknown,Gold,4x Yellow,,,PT1601,Paul Datson,2,0,1,1,50
K14.0256,cYG_248,,,Gold,4x Yellow,,,,Paul Datson,13,0,0,13,100
K14.0255,cYG_298,,Female,Gold,4x Yellow,,,PT1601,Paul Datson,14,2,5,7,50
K14.0255,cYG_298,,Negative,Gold,4x Yellow,,,PT1601,Paul Datson,1,1,0,0,0
K14.0255,cYG_298,,,Gold,4x Yellow,,,,Paul Datson,16,3,4,9,56.25
K14.0319,eJ_219,,,Gold,4x Yellow,,,,Paul Datson,32,0,11,21,65.62
K14.0318,eJ_248,,,Gold,4x Yellow,,,,Paul Datson,32,0,5,27,84.38
K14.0317,eJ_298,,,Gold,4x Yellow,,,,Paul Datson,28,3,9,16,57.14
K14.0316,eJ_376,,,Gold,4x Yellow,,,,Paul Datson,24,4,7,13,54.17
K14.0269,eM_298,,Female,Gold,4x Yellow,,,PT1601,Paul Datson,14,0,1,13,92.86
K14.0270,eM_376,,,Gold,4x Yellow,,,,Paul Datson,31,1,2,28,90.32
K13.0524,GT_227,,Male,Gold,4x Yellow,,,,Alan Seal,16,0,3,13,81.25
K13.0526,GT_381,,Male,Gold,4x Yellow,,,,Alan Seal,20,1,4,15,75
K13.0527,GT_406,,Male,Gold,4x Yellow,,,,Alan Seal,18,1,0,17,94.44
K13.0527,GT_406,,Negative,Gold,4x Yellow,,,,Alan Seal,2,0,0,2,100
K13.0521,GT_457,,Male,Gold,4x Yellow,,,,Alan Seal,14,0,1,13,92.86
K13.0522,GT_605,,Male,Gold,4x Yellow,,,,Alan Seal,17,1,1,15,88.24
K13.0523,GT_606,,Male,Gold,4x Yellow,,,,Alan Seal,11,0,0,11,100
K13.0523,GT_606,,Negative,Gold,4x Yellow,,,,Alan Seal,1,0,0,1,100
K14.0288,kAB_219,,,Gold,4x Yellow,,,,Paul Datson,32,6,3,23,71.88
K14.0289,kAB_708,,,Gold,4x Yellow,,,,Paul Datson,28,2,3,23,82.14
K14.0309,kAG_710,,Female,Gold,4x Yellow,,,PT1601,Paul Datson,13,2,3,8,61.54
K14.0309,kAG_710,,,Gold,4x Yellow,,,,Paul Datson,18,2,7,9,50
K13.0542,rGO_227,,Male,Gold,4x Yellow,,,,Alan Seal,19,3,4,12,63.16
K13.0546,rGO_321,,Male,Gold,4x Yellow,,,,Alan Seal,34,1,3,30,88.24
K13.0546,rGO_321,,Negative,Gold,4x Yellow,,,,Alan Seal,15,0,3,12,80
K13.0544,rGO_381,,Male,Gold,4x Yellow,,,,Alan Seal,23,0,11,12,52.17
K13.0545,rGO_406,,Male,Gold,4x Yellow,,,,Alan Seal,56,0,4,52,92.86
K13.0545,rGO_406,,Negative,Gold,4x Yellow,,,,Alan Seal,4,0,0,4,100
K13.0539,rGO_457,,Male,Gold,4x Yellow,,,,Alan Seal,19,1,6,12,63.16
K13.0539,rGO_457,,Negative,Gold,4x Yellow,,,,Alan Seal,7,0,0,7,100
K13.0539,rGO_457,,Unknown,Gold,4x Yellow,,,,Alan Seal,1,0,1,0,0
K13.0540,rGO_605,,Male,Gold,4x Yellow,,,,Alan Seal,18,0,1,17,94.44
K13.0541,rGO_606,,Male,Gold,4x Yellow,,,,Alan Seal,18,0,0,18,100
K13.0543,rGO_607,,Male,Gold,4x Yellow,,,,Alan Seal,96,2,12,82,85.42
K13.0543,rGO_607,,Unknown,Gold,4x Yellow,,,,Alan Seal,1,0,0,1,100
K14.0292,rJV_709,,Female,Gold,4x Yellow,,,PT1601,Paul Datson,9,1,2,6,66.67
K14.0292,rJV_709,,Negative,Gold,4x Yellow,,,PT1601,Paul Datson,1,0,0,1,100
K14.0292,rJV_709,,,Gold,4x Yellow,,,,Paul Datson,22,5,0,17,77.27
K14.0291,rJV_757,,Female,Gold,4x Yellow,,,PT1601,Paul Datson,14,1,4,9,64.29
K14.0291,rJV_757,,,Gold,4x Yellow,,,,Paul Datson,17,2,4,11,64.71
K14.0296,rJW_758,,Female,Gold,4x Yellow,,,PT1601,Paul Datson,16,4,6,6,37.5
